Numer lekcji[Youtube],Topic,Status
1,How to Pass Your SY0-701 Security+ Exam in 2026,Not Done
2,Security Controls - CompTIA Security+ SY0-701 - 1.1,Not Done
3,The CIA Triad - CompTIA Security+ SY0-701 - 1.2,Not Done
4,Non-repudiation - CompTIA Security+ SY0-701 - 1.2,Not Done
5,"Authentication, Authorization, and Accounting - CompTIA Security+ SY0-701 - 1.2",Not Done
6,Gap Analysis - CompTIA Security+ SY0-701 - 1.2,Not Done
7,Zero Trust - CompTIA Security+ SY0-701 - 1.2,Not Done
8,Physical Security - CompTIA SY0-701 Security+ - 1.2,Not Done
9,Deception and Disruption - CompTIA Security+SY0-701 - 1.2,Not Done
10,Change Management - CompTIA Security+ SY0-701 - 1.3,Not Done
11,Technical Change Management - CompTIA Security+ SY0-701 - 1.3,Not Done
12,Public Key Infrastructure - CompTIA Security+ Sy0-701 - 1.4,Not Done
13,Encrypting Data - CompTIA Security+ SY0-701 - 1.4,Not Done
14,Key Exchange - CompTIA Security+ SY0-701 - 1.4,Not Done
15,Encryption Technologies - CompTIA Security+ SY0-701 - 1.4,Not Done
16,Obfuscation - CompTIA Security+ SY0-701 - 1.4,Not Done
17,Hashing and Digital Signatures - CompTIA Security+ SY0-701 - 1.4,Not Done
18,Blockchain Technology - CompTIA Security+ SY0-701 - 1.4,Not Done
19,Certificates - CompTIA Security+ SY0-701 - 1.4,Not Done
20,Threat Actors - CompTIA Security+ SY0-701 - 2.1,Not Done
21,Common Threat Vectors - CompTIA Security+ SY0-701 - 2.2,Not Done
22,Phishing - CompTIA Security+ SY0-701 - 2.2,Not Done
23,Impersonation - CompTIA Security+ SY0-701 - 2.2,Not Done
24,Watering Hole Attacks - CompTIA Security+ SY0-701 - 2.2,Not Done
25,Other Social Engineering Attacks - CompTIA Security+ SY0-701 - 2.2,Not Done
26,Memory Injections - CompTIA Security+ SY0-701 - 2.3,Not Done
27,Buffer Overflows - CompTIA Security+ SY0-701 - 2.3,Not Done
28,Race Conditions - CompTIA Security+ SY0-701 - 2.3,Not Done
29,Malicious Updates - CompTIA Security+ SY0-701 - 2.3,Not Done
30,Operating System Vulnerabilities - CompTIA Security+ SY0-701 - 2.3,Not Done
31,SQL Injection - CompTIA Security+ SY0-701 - 2.3,Not Done
32,Cross-site Scripting - CompTIA Security+ SY0-701 - 2.3,Not Done
33,Hardware Vulnerabilities - CompTIA Security+ SY0-701 - 2.3,Not Done
34,Virtualization Vulnerabilities - CompTIA Security+ SY0-701 - 2.3,Not Done
35,Cloud-specific Vulnerabilities - CompTIA Security+ SY0-701 - 2.3,Not Done
36,Supply Chain Vulnerabilities - CompTIA Security+ SY0-701 - 2.3,Not Done
37,Misconfiguration Vulnerabilities - CompTIA Security+ SY0-701 - 2.3,Not Done
38,Mobile Device Vulnerabilities - CompTIA Security+ SY0-701 - 2.3,Not Done
39,Zero-day Vulnerabilities - CompTIA Security+ SY0-701 - 2.3,Not Done
40,An Overview of Malware - CompTIA Security+ SY0-701 - 2.4,Not Done
41,Viruses and Worms - CompTIA Security+ SY0-701 - 2.4,Not Done
42,Spyware and Bloatware - CompTIA Security+ SY0-701 - 2.4,Not Done
43,Other Malware Types - CompTIA Security+ SY0-701 - 2.4,Not Done
44,Physical Attacks - CompTIA Security+ SY0-701 - 2.4,Not Done
45,Denial of Service - CompTIA Security+ SY0-701 - 2.4,Not Done
46,DNS Attacks - CompTIA Security+ SY0-701 - 2.4,Not Done
47,Wireless Attacks - CompTIA Security+ SY0-701 - 2.4,Not Done
48,On-path Attacks - CompTIA Security+ SY0-701 - 2.4,Not Done
49,Replay Attacks - CompTIA Security+ SY0-701- 2.4,Not Done
50,Malicious Code - CompTIA Security+ SY0-701 - 2.4,Not Done
51,Application Attacks - CompTIA Security+ SY0-701 - 2.4,Not Done
52,Cryptographic Attacks - CompTIA Security+ SY0-701 - 2.4,Not Done
53,Password Attacks - CompTIA Security+ SY0-701 - 2.4,Not Done
54,Indicators of Compromise - CompTIA Security+ SY0-701 - 2.4,Not Done
55,Segmentation and Access Control - CompTIA Security+ SY0-701 - 2.5,Not Done
56,Mitigation Techniques - CompTIA Security+ SY0-701 - 2.5,Not Done
57,Hardening Techniques - CompTIA Security+ SY0-701 - 2.5,Not Done
58,Cloud Infrastructures - CompTIA Security+ SY0-701 - 3.1,Not Done
59,Network Infrastructure Concepts - CompTIA Security+ SY0-701 - 3.1,Not Done
60,Other Infrastructure Concepts - CompTIA Security+ SY0-701 - 3.1,Not Done
61,Infrastructure Considerations - CompTIA Security+ SY0-701 - 3.1,Not Done
62,Secure Infrastructures - CompTIA Security+ SY0-701 - 3.2,Not Done
63,Intrusion Prevention - CompTIA Security+ SY0-701 - 3.2,Not Done
64,Network Appliances - CompTIA Security+ SY0-701 - 3.2,Not Done
65,Port Security - CompTIA Security+ SY0-701 - 3.2,Not Done
66,Firewall Types - CompTIA Security+ SY0-701 - 3.2,Not Done
67,Secure Communication - CompTIA Security+ SY0-701 - 3.2,Not Done
68,Data Types and Classifications - CompTIA Security+ SY0-701 - 3.3,Not Done
69,States of Data - CompTIA Security+ SY0-701 - 3.3,Not Done
70,Protecting Data - CompTIA Security+ SY0-701 - 3.3,Not Done
71,Resiliency - CompTIA Security+ SY0-701 - 3.4,Not Done
72,Capacity Planning - CompTIA Security+ SY0-701 - 3.4,Not Done
73,Recovery Testing - CompTIA Security+ SY0-701 - 3.4,Not Done
74,Backups - CompTIA Security+ SY0-701 - 3.4,Not Done
75,Power Resiliency - CompTIA Security+ SY0-701 - 3.4,Not Done
76,Secure Baselines - CompTIA Security+ SY0-701 - 4.1,Not Done
77,Hardening Targets - CompTIA Security+ SY0-701 - 4.1,Not Done
78,Securing Wireless and Mobile - CompTIA Security+ SY0-701 - 4.1,Not Done
79,Wireless Security Settings - CompTIA Security+ SY0-701 - 4.1,Not Done
80,Application Security - CompTIA Security+ SY0-701 - 4.1,Not Done
81,Asset Management - CompTIA Security+ SY0-701 - 4.2,Not Done
82,Vulnerability Scanning - CompTIA Security+ SY0-701 - 4.3,Not Done
83,Threat Intelligence - CompTIA Security+ SY0-701 - 4.3,Not Done
84,Penetration Testing - CompTIA Security+ SY0-701 - 4.3,Not Done
85,Analyzing Vulnerabilities - CompTIA Security+ SY0-701 - 4.3,Not Done
86,Vulnerability Remediation - CompTIA Security+ SY0-701 - 4.3,Not Done
87,Security Monitoring - CompTIA Security+ SY0-701 - 4.4,Not Done
88,Security Tools - CompTIA Security+ SY0-701 - 4.4,Not Done
89,Firewalls - CompTIA Security+ SY0-701 - 4.5,Not Done
90,Web Filtering - CompTIA Security+ SY0-701 - 4.5,Not Done
91,Operating System Security - CompTIA Security+ SY0-701 - 4.5,Not Done
92,Secure Protocols - CompTIA Security+ SY0-701 - 4.5,Not Done
93,Email Security - CompTIA Security+ SY0-701 - 4.5,Not Done
94,Monitoring Data - CompTIA Security+ SY0-701 - 4.5,Not Done
95,Endpoint Security - CompTIA Security+ SY0-701 - 4.5,Not Done
96,Identity and Access Management - CompTIA Security+ SY0-701 - 4.6,Not Done
97,Access Controls - CompTIA Security+ SY0-701 - 4.6,Not Done
98,Multifactor Authentication - CompTIA Security+ SY0-701 - 4.6,Not Done
99,Password Security - CompTIA Security+ SY0-701 - 4.6,Not Done
100,Scripting and Automation - CompTIA Security+ SY0-701 - 4.7,Not Done
101,Incident Response - CompTIA Security+ SY0-701 - 4.8,Not Done
102,Incident Planning - CompTIA Security+ SY0-701 - 4.8,Not Done
103,Digital Forensics - CompTIA Security+ SY0-701 - 4.8,Not Done
104,Log Data - CompTIA Security+ SY0-701 - 4.9,Not Done
105,Security Policies - CompTIA Security+ SY0-701 - 5.1,Not Done
106,Security Standards - CompTIA Security+ SY0-701 - 5.1,Not Done
107,Security Procedures - CompTIA Security+ SY0-701 - 5.1,Not Done
108,Security Considerations - CompTIA Security+ SY0-701 - 5.1,Not Done
109,Data Roles and Responsibilities - CompTIA Security+ SY0-701 - 5.1,Not Done
110,Risk Management - CompTIA Security+ SY0-701 - 5.2,Not Done
111,Risk Analysis - CompTIA Security+ SY0-701 - 5.2,Not Done
112,Risk Management Strategies - CompTIA Security+ SY0-701 - 5.2,Not Done
113,Business Impact Analysis - CompTIA Security+ SY0-701 - 5.2,Not Done
114,Third-party Risk Assessment - CompTIA Security+ SY0-701 - 5.3,Not Done
115,Agreement Types - CompTIA Security+ SY0-701 - 5.3,Not Done
116,Compliance - CompTIA Security+ SY0-701 - 5.4,Not Done
117,Privacy - CompTIA Security+ SY0-701 - 5.4,Not Done
118,Audits and Assessments - CompTIA Security+ SY0-701 - 5.5,Not Done
119,Penetration Tests - CompTIA Security+ SY0-701 - 5.5,Not Done
120,Security Awareness - CompTIA Security+ SY0-701 - 5.6,Not Done
121,User Training - CompTIA Security+ SY0-701 - 5.6,Not Done
